content,title
https://www.geeksforgeeks.org/amazon-interview-experience-set-424-sde-2/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 424 (For SDE 2)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-423-cloud-support-associate/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 423 (For Cloud Support Associate)</h1>"
https://www.geeksforgeeks.org/find-ith-index-character-in-a-binary-string-obtained-after-n-iterations/,"<h1 class=""entry-title"">Find i’th Index character in a binary string obtained after n iterations</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-417-sde-2/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 417 (For SDE- 2)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-416-campus-internship/,"<h1 class=""entry-title"">Amazon interview Experience | Set 416 (On Campus for Internship)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-422-sde-ii/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 422 (For SDE II)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-415-sde-2/,"<h1 class=""entry-title"">Amazon interview Experience | Set 415 (For SDE-2)</h1>"
https://www.geeksforgeeks.org/maximum-number-chocolates-distributed-equally-among-k-students/,"<h1 class=""entry-title"">Maximum number of chocolates to be distributed equally among k students</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-419/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 419</h1>"
https://www.geeksforgeeks.org/check-array-contains-contiguous-integers-duplicates-allowed/,"<h1 class=""entry-title"">Check if array contains contiguous integers with duplicates allowed</h1>"
https://www.geeksforgeeks.org/reverse-individual-words/,"<h1 class=""entry-title"">Reverse individual words</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-420-qae/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 420 (For QAE)</h1>"
https://www.geeksforgeeks.org/closest-numbers-list-unsorted-integers/,"<h1 class=""entry-title"">Closest numbers from a list of unsorted integers</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-421-internship/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 421 (For Internship)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-418-sde-2/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 418 (For SDE 2)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-405sde-ii/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 405 (SDE-II)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-406-off-campus-internship/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 406 (Off-Campus Internship)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-407-internship/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 407 (Internship)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-408-internship/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 408 (Internship)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-409-sde/,"<h1 class=""entry-title"">Amazon interview Experience | Set 409 (For SDE-I)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-410-campus-internship/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 410 (On-Campus Internship)</h1>"
https://www.geeksforgeeks.org/prime-number-set-bits-binary-representation/,"<h1 class=""entry-title"">Prime Number of Set Bits in Binary Representation</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-403-campus-full-time/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 403 (On Campus for Full Time)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-411-sde-1/,"<h1 class=""entry-title"">Amazon interview Experience | 411 (SDE-1)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-412-sde-ii/,"<h1 class=""entry-title"">Amazon interview Experience | Set 412 (SDE II)</h1>"
https://www.geeksforgeeks.org/check-two-expressions-brackets/,"<h1 class=""entry-title"">Check if two expressions with brackets are same</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-413-sdet-1-campus-internship/,"<h1 class=""entry-title"">Amazon interview Experience | Set 413 (SDET-1 On-Campus Internship)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-414-sdet-1/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 414 (For SDET-1)</h1>"
https://www.geeksforgeeks.org/smallest-number-k-product-digits-k-equal-n/,"<h1 class=""entry-title"">Smallest number k such that the product of digits of k is equal to n</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-404-campus-internship/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 404 (On-Campus Internship)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-402-experienced-sde-2/,"<h1 class=""entry-title"">Amazon Interview Experience | 402 (Experienced for SDE 2)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-393-campus-internship/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 393 (On Campus For Internship)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-395-campus-internship/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 395 (On-campus for Internship)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-394-campus-full-time/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 394 (On-Campus Full Time)</h1>"
https://www.geeksforgeeks.org/puzzle-city-truth-lies/,"<h1 class=""entry-title"">Puzzle | City of Truth and Lies</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-390-campus/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 390 (On-Campus)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-392-campus-internship/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 392 (On Campus for Internship)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-392-sde-2/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 392 (For SDE 2)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-396-sde-2/,"<h1 class=""entry-title"">Amazon interview experience | Set 396 (For SDE-2)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-397-campus/,"<h1 class=""entry-title"">Amazon interview experience | Set 397 (On-Campus)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-400-sde-2/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 400 (For SDE 2)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-398-campus/,"<h1 class=""entry-title"">Amazon interview experience | Set 398 (On-Campus)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-399-campus-full-time/,"<h1 class=""entry-title"">Amazon Interview Experience | 399 (On Campus for full time)</h1>"
https://www.geeksforgeeks.org/find-index-first-1-infinite-sorted-array-0s-1s/,"<h1 class=""entry-title"">Find the index of first 1 in an infinite sorted array of 0s and 1s</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-3years-experience-sde-ii/,"<h1 class=""entry-title"">Amazon Interview Experience | 401 (3+Years Experience for SDE II)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-389-campus-full-time/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 389 (On -Campus for Full Time)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-377-campus-full-time/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 377 (On-campus for Full time)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-380-campus/,"<h1 class=""entry-title"">Amazon Interview Experience | 380 (On-Campus)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-381-sde2/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 381 (For SDE2)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-378-campus/,"<h1 class=""entry-title"">Amazon Interview Experience | Set 378 (On-Campus)</h1>"
https://www.geeksforgeeks.org/print-possible-strings-can-made-placing-spaces-2/,"<h1 class=""entry-title"">Print all possible strings that can be made by placing spaces</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-382-campus-full-time/,"<h1 class=""entry-title"">Amazon Interview Experience | Set  382 (On-Campus for Full Time)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-379-campus-internship/,"<h1 class=""entry-title"">Amazon Interview Experience | 379 (On-Campus for Internship)</h1>"
https://www.geeksforgeeks.org/prove-atleast-one-three-consecutive-even-numbers-divisible-6/,"<h1 class=""entry-title"">Prove that atleast one of three consecutive even numbers is divisible by 6</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-383-campus-internship/,"<h1 class=""entry-title"">Amazon interview experience | Set 383 (On-Campus for Internship)</h1>"
https://www.geeksforgeeks.org/amazon-interview-experience-set-384-campus-fte/,"<h1 class=""entry-title"">Amazon interview experience | Set 384 (On-Campus for FTE)</h1>"
